               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11142,             0.32913,            0.042906,               0.072,            0.051738,            0.039151,              0.0118,             0.10102,             0.26361,            0.036722,            0.070357,           0.0032937,           0.0032937
                   1,            0.093787,             0.27727,              0.0332,             0.85696,            0.075027,             0.10413,            0.041171,            0.085781,             0.25481,            0.031253,            0.040226,           0.0064958,           0.0064958
                   2,            0.082576,             0.29935,            0.029813,             0.41339,             0.29907,             0.19303,            0.084723,            0.069958,             0.25888,            0.028719,           0.0099627,           0.0095659,           0.0095659
                   3,            0.076482,             0.29003,            0.028348,             0.44051,             0.43995,             0.27922,             0.13461,            0.063816,             0.23651,            0.027559,            0.009406,            0.009406,            0.009406
                   4,             0.07209,             0.28453,            0.026731,             0.19486,             0.45839,             0.27061,             0.10163,            0.075424,             0.22802,            0.025276,            0.009406,            0.009406,            0.009406
                   5,            0.070158,             0.29099,            0.025062,             0.79021,             0.35304,             0.38535,             0.19768,            0.057847,             0.22323,            0.023231,            0.009208,            0.009208,            0.009208
                   6,            0.066075,             0.28041,             0.02338,             0.82729,             0.35795,             0.42013,             0.20289,            0.062877,              0.2186,            0.022286,             0.00901,             0.00901,             0.00901
                   7,            0.063742,             0.28046,            0.022763,              0.8384,             0.37271,             0.47048,             0.25215,            0.055146,             0.21355,            0.021504,            0.008812,            0.008812,            0.008812
                   8,            0.064492,             0.27712,            0.021967,             0.29275,             0.64364,             0.48512,             0.25623,            0.054951,             0.21533,            0.021057,            0.008614,            0.008614,            0.008614
                   9,            0.061093,             0.27315,             0.02124,             0.30857,             0.67081,             0.48765,             0.25422,            0.055796,             0.21373,            0.020237,            0.008416,            0.008416,            0.008416
                  10,            0.060717,             0.26955,             0.02119,             0.35451,             0.61324,             0.48673,             0.24291,            0.058218,             0.21036,            0.019949,            0.008218,            0.008218,            0.008218
                  11,            0.058901,             0.27187,            0.020291,             0.44441,             0.64129,             0.53135,             0.26492,            0.057637,              0.2175,            0.018818,             0.00802,             0.00802,             0.00802
                  12,            0.059109,             0.27134,            0.019858,             0.42157,             0.63392,             0.55441,             0.27087,            0.057515,             0.21689,            0.019334,            0.007822,            0.007822,            0.007822
                  13,            0.058306,             0.27165,            0.018938,             0.48251,             0.62704,             0.55784,             0.29976,            0.052997,             0.20945,             0.01772,            0.007624,            0.007624,            0.007624
                  14,            0.059042,             0.27383,            0.018033,             0.57731,             0.62399,             0.61054,             0.35842,            0.049727,             0.20271,            0.017316,            0.007426,            0.007426,            0.007426
                  15,            0.057875,             0.25831,            0.017782,             0.61127,             0.60575,             0.62641,             0.34706,            0.052024,             0.20484,            0.016503,            0.007228,            0.007228,            0.007228
                  16,             0.05719,             0.26591,            0.017502,             0.56836,              0.6074,             0.61658,             0.35241,             0.05113,             0.20438,            0.017211,             0.00703,             0.00703,             0.00703
                  17,            0.054908,             0.25971,            0.016785,             0.66672,             0.60689,             0.63788,             0.36873,            0.051595,             0.20678,            0.015729,            0.006832,            0.006832,            0.006832
                  18,             0.05543,             0.26551,            0.016295,             0.66954,             0.60835,             0.64649,             0.37684,            0.050504,             0.20626,            0.015789,            0.006634,            0.006634,            0.006634
                  19,            0.055516,             0.26202,            0.016682,             0.64823,             0.62666,             0.65167,             0.37827,            0.050456,             0.20597,            0.015507,            0.006436,            0.006436,            0.006436
                  20,            0.055653,             0.26514,            0.016071,             0.65047,              0.6295,             0.66088,             0.38582,            0.050616,             0.20402,            0.014835,            0.006238,            0.006238,            0.006238
                  21,            0.054556,             0.25898,            0.015493,             0.65468,             0.62161,             0.65735,             0.39525,            0.048615,             0.20065,            0.014986,             0.00604,             0.00604,             0.00604
                  22,            0.054339,             0.26087,            0.015834,             0.70329,              0.6133,             0.66292,             0.38862,            0.049204,              0.2026,            0.014692,            0.005842,            0.005842,            0.005842
                  23,            0.054547,             0.25696,            0.015462,             0.68155,             0.61287,             0.66685,             0.38459,            0.050328,             0.20297,            0.014939,            0.005644,            0.005644,            0.005644
                  24,            0.052804,             0.25376,            0.014964,             0.68518,             0.60475,             0.65989,             0.37747,            0.050571,             0.20326,            0.014148,            0.005446,            0.005446,            0.005446
                  25,             0.05289,             0.25661,            0.015535,             0.69405,             0.62609,             0.67323,             0.39974,            0.049076,             0.20239,            0.013984,            0.005248,            0.005248,            0.005248
                  26,            0.052361,              0.2478,             0.01449,             0.67314,             0.62824,             0.67363,             0.39511,            0.049236,             0.20186,             0.01472,             0.00505,             0.00505,             0.00505
                  27,            0.051981,             0.25343,            0.014754,             0.67049,             0.62409,             0.66282,             0.40381,             0.04801,               0.201,            0.014838,            0.004852,            0.004852,            0.004852
                  28,            0.052318,             0.25625,            0.014441,             0.66292,             0.61787,             0.66439,             0.40334,            0.048064,             0.19951,             0.01379,            0.004654,            0.004654,            0.004654
                  29,            0.051534,             0.25061,            0.014615,             0.69219,             0.64083,             0.69208,             0.42366,            0.047377,             0.20067,            0.013471,            0.004456,            0.004456,            0.004456
                  30,            0.051291,             0.24103,            0.014568,             0.68494,             0.62608,              0.6837,             0.41797,            0.047753,             0.19914,            0.013562,            0.004258,            0.004258,            0.004258
                  31,            0.051379,             0.24766,            0.014525,             0.66627,             0.61117,             0.67466,             0.40544,            0.048966,             0.20028,            0.014591,             0.00406,             0.00406,             0.00406
                  32,            0.051469,              0.2522,            0.013854,             0.65917,             0.65032,             0.69686,              0.4265,            0.047672,             0.19877,            0.013499,            0.003862,            0.003862,            0.003862
                  33,            0.050344,             0.24708,            0.014117,             0.61635,             0.65121,             0.69422,             0.41459,            0.048401,             0.20197,            0.013921,            0.003664,            0.003664,            0.003664
                  34,            0.050204,               0.245,            0.013983,              0.6192,             0.65523,             0.67642,             0.40037,            0.049053,             0.20222,            0.015344,            0.003466,            0.003466,            0.003466
                  35,            0.050033,             0.24637,            0.013835,             0.62248,             0.66315,             0.68556,             0.41996,            0.047675,             0.19959,            0.013307,            0.003268,            0.003268,            0.003268
                  36,            0.050228,             0.24571,            0.013282,             0.62896,             0.69718,             0.70166,             0.43557,            0.046779,             0.19831,            0.013568,             0.00307,             0.00307,             0.00307
                  37,            0.049673,             0.24673,             0.01351,             0.63518,             0.67428,             0.69532,             0.43062,             0.04746,             0.19947,            0.013439,            0.002872,            0.002872,            0.002872
                  38,            0.049542,             0.24317,            0.013523,             0.68115,             0.66057,             0.70341,             0.43669,            0.046987,             0.19867,            0.013361,            0.002674,            0.002674,            0.002674
                  39,            0.049336,             0.23999,            0.013585,             0.68296,             0.67215,             0.70229,             0.43698,            0.046809,             0.19744,            0.013326,            0.002476,            0.002476,            0.002476
                  40,            0.049518,             0.24648,            0.013315,             0.67307,             0.67554,             0.69817,             0.43539,            0.047041,             0.20059,            0.013246,            0.002278,            0.002278,            0.002278
                  41,            0.048278,             0.23674,            0.013374,             0.69997,             0.68279,             0.71664,             0.44792,            0.046655,             0.19764,            0.012831,             0.00208,             0.00208,             0.00208
                  42,             0.04885,              0.2437,            0.013039,             0.69571,             0.68242,             0.71414,              0.4424,            0.046951,             0.19932,            0.013284,            0.001882,            0.001882,            0.001882
                  43,            0.049067,             0.24565,            0.012825,             0.70568,             0.68142,             0.71608,             0.45001,            0.046563,             0.19841,            0.012798,            0.001684,            0.001684,            0.001684
                  44,            0.049165,             0.24595,            0.013334,             0.69998,             0.67365,             0.70868,             0.44626,            0.046599,             0.19724,            0.012885,            0.001486,            0.001486,            0.001486
                  45,            0.048324,             0.23745,            0.012503,             0.71967,             0.66628,             0.71192,             0.44811,            0.046448,             0.19763,            0.012824,            0.001288,            0.001288,            0.001288
                  46,            0.049078,             0.24523,            0.012559,             0.71279,             0.67309,              0.7115,             0.44573,            0.046518,             0.19657,            0.013071,             0.00109,             0.00109,             0.00109
                  47,            0.047869,             0.23471,            0.013134,              0.7077,             0.66518,             0.71157,             0.44759,             0.04644,             0.19759,            0.012988,            0.000892,            0.000892,            0.000892
                  48,             0.04821,             0.24073,            0.012852,             0.70785,             0.67543,             0.71454,             0.44817,            0.046411,             0.19763,            0.012786,            0.000694,            0.000694,            0.000694
                  49,            0.047772,             0.23355,            0.012944,             0.71192,               0.669,             0.71644,             0.45062,            0.046423,             0.19807,            0.012739,            0.000496,            0.000496,            0.000496
